graph,n,metric,spearman_rho
two_triangles_bridge,6,degree,1.0
two_triangles_bridge,6,strength,1.0
two_triangles_bridge,6,betweenness,1.0
two_triangles_bridge,6,cf_closeness,0.8944271909999161
two_triangles_bridge,6,eigenvector,0.8280786712108252
square_with_diagonals,4,degree,
square_with_diagonals,4,strength,
square_with_diagonals,4,betweenness,
square_with_diagonals,4,eigenvector,
square_with_diagonals,4,cf_closeness,
path_10,10,betweenness,0.9968895725584538
path_10,10,eigenvector,0.9908114437536393
path_10,10,cf_closeness,0.9878044218151566
path_10,10,degree,0.7049073768502414
path_10,10,strength,0.7049073768502414
star_10,10,degree,0.9999999999999999
star_10,10,strength,0.9999999999999999
star_10,10,betweenness,0.9999999999999999
star_10,10,cf_closeness,0.564932682866032
star_10,10,eigenvector,0.5238227218271837
two_cliques_two_bridges,12,degree,0.8511922825582904
two_cliques_two_bridges,12,strength,0.8511922825582904
two_cliques_two_bridges,12,betweenness,0.8511922825582904
two_cliques_two_bridges,12,cf_closeness,0.8424180018226072
two_cliques_two_bridges,12,eigenvector,0.7605029782152164
